Name,Withdrawal created at,ID,User inventory item ID,Prize ID,Game name,Image,Value,Withdrawal ID,Cardname,Activeprizeid,Pastprizeids,Allprizeids
Aerodactyl (1st Edition),2024-08-08T17:02:53.514Z,f4035575-81aa-4a98-8edd-bf0d4ba12735,45a5c0b1-36fa-4f2d-ae20-338ce871c58e,075a0b15-5e7b-4ed9-8ff5-a363de4cd86b,1st Edition Fossil Rares!,https://images.pokemontcg.io/base3/1_hires.png,100.300000000000000000000000000000,f4035575-81aa-4a98-8edd-bf0d4ba12735,Aerodactyl,075a0b15-5e7b-4ed9-8ff5-a363de4cd86b,"[""e28f7a10-6ce6-47a1-8a18-9f01f6068562"",""f4b92f7b-53c2-4753-af00-cc7c1759e1b2""]","[""075a0b15-5e7b-4ed9-8ff5-a363de4cd86b"",""e28f7a10-6ce6-47a1-8a18-9f01f6068562"",""f4b92f7b-53c2-4753-af00-cc7c1759e1b2""]"
An Offer You Can't Refuse,2024-08-12T02:17:28.897Z,87e8618b-4f70-4135-83d2-5cb821ee33c0,7686c15f-5f05-4c49-8c49-3c985af07910,1314a878-605e-494f-bd40-f346b08ecbc6,Best 1 Drops of All Time (Spells),https://cards.scryfall.io/png/front/4/1/41ecf5f7-db15-4917-ad7f-1c652b0a97da.png,7.590000000000000000000000000000,87e8618b-4f70-4135-83d2-5cb821ee33c0,An Offer You Can't Refuse,3c2631b9-5c9c-452b-b26e-267a570e0958,"[""1314a878-605e-494f-bd40-f346b08ecbc6""]","[""1314a878-605e-494f-bd40-f346b08ecbc6"",""3c2631b9-5c9c-452b-b26e-267a570e0958""]"
Ancient Bronze Dragon (Borderless),2024-08-10T14:35:07.997Z,293bf5ff-ac62-485d-98be-1a19168c7649,d4626106-026e-4215-993c-c7d244a8519f,7336502d-d8d1-49a2-8d6b-0745a83d7b8f,"Do You Even Tribal, Bro? (Dragons)",https://cards.scryfall.io/png/front/9/b/9b957a1f-6d26-47bb-84ba-81acc01a8dae.png,21.230000000000000000000000000000,293bf5ff-ac62-485d-98be-1a19168c7649,Ancient Bronze Dragon (Borderless),7336502d-d8d1-49a2-8d6b-0745a83d7b8f,"[""03429b8c-2000-4da7-a04e-1409bfbfd573"",""37c64362-55dc-445c-a514-9f6b10cfba16""]","[""03429b8c-2000-4da7-a04e-1409bfbfd573"",""37c64362-55dc-445c-a514-9f6b10cfba16"",""7336502d-d8d1-49a2-8d6b-0745a83d7b8f""]"
Applejack,2024-08-11T05:34:24.677Z,123591c9-8fc7-4dc1-bfb8-e5836dc475f3,f925a7f9-9941-4879-8abd-16aa6b208dbb,b8fcdf00-a82a-4860-953d-ebd51342eaaa,Food Porn,https://cards.scryfall.io/png/front/a/8/a8f02241-b268-43c8-b69e-bf10c8a9b9ca.png,23.350000000000000000000000000000,123591c9-8fc7-4dc1-bfb8-e5836dc475f3,Applejack,b8fcdf00-a82a-4860-953d-ebd51342eaaa,"[""87072ed7-dd3f-41fb-8701-23a4986e3682"",""9b23c1cd-a781-435e-a02a-29ba5e5a893e""]","[""87072ed7-dd3f-41fb-8701-23a4986e3682"",""9b23c1cd-a781-435e-a02a-29ba5e5a893e"",""b8fcdf00-a82a-4860-953d-ebd51342eaaa""]"
Arbor Elf,2024-08-12T02:17:58.549Z,2fb519ed-a87e-4695-936d-23e16a7d65ca,f11421fb-ef06-452e-961b-2bc7ebd02ac8,55ff3f05-3683-4a7b-a252-c7287f0e40d7,Best 1 Drops of All Time (Creatures),https://cards.scryfall.io/png/front/4/b/4b81165e-f091-4211-8b47-5ea6868b0d4c.png,0.470000000000000000000000000000,2fb519ed-a87e-4695-936d-23e16a7d65ca,Arbor Elf,579d03ee-5d3d-4e6a-9417-44a23b7bb644,"[""1b1f57d4-0fd7-4944-9de4-3e3939c55b1d"",""32efc69e-1322-4a79-a5f3-76260c3b967e"",""55ff3f05-3683-4a7b-a252-c7287f0e40d7"",""6b4215d8-a883-41d7-acf3-78a600604f02"",""fea49777-8155-4214-b34c-3aff6848c74f""]","[""1b1f57d4-0fd7-4944-9de4-3e3939c55b1d"",""32efc69e-1322-4a79-a5f3-76260c3b967e"",""55ff3f05-3683-4a7b-a252-c7287f0e40d7"",""579d03ee-5d3d-4e6a-9417-44a23b7bb644"",""6b4215d8-a883-41d7-acf3-78a600604f02"",""fea49777-8155-4214-b34c-3aff6848c74f""]"
"Arlinn, Voice of the Pack",2024-08-11T10:55:00.777Z,f6a459c3-6b33-4d7b-ad4f-51e2bfc05626,a636224b-10d6-48d6-b7d2-70bc44654045,ae61644f-cb5a-48c8-931c-ffc511e4b9fe,"Oops, All Anime!",https://cards.scryfall.io/png/front/9/8/98bee15d-6868-4dfc-9dd9-b437c5f3d6db.png,0.150000000000000000000000000000,f6a459c3-6b33-4d7b-ad4f-51e2bfc05626,"Arlinn, Voice of the Pack",f48469af-3e7d-497b-a4dc-12cbef814320,"[""129baa57-108a-488a-8409-8b1ddceb499e"",""23bddcbf-5aa5-4fa7-8d1d-f9b14c602bb8"",""42f13f3f-0775-4360-ad19-6e2da358618a"",""49edb606-89f3-40c7-9960-c458ce676067"",""4c695006-5897-4984-a95d-456b82dd2d43"",""778cc9a6-5afa-458e-a423-4143009e5d2b"",""ae61644f-cb5a-48c8-931c-ffc511e4b9fe"",""cefd3857-ecc2-477c-8ca9-d26e32005ee1""]","[""129baa57-108a-488a-8409-8b1ddceb499e"",""23bddcbf-5aa5-4fa7-8d1d-f9b14c602bb8"",""42f13f3f-0775-4360-ad19-6e2da358618a"",""49edb606-89f3-40c7-9960-c458ce676067"",""4c695006-5897-4984-a95d-456b82dd2d43"",""778cc9a6-5afa-458e-a423-4143009e5d2b"",""ae61644f-cb5a-48c8-931c-ffc511e4b9fe"",""cefd3857-ecc2-477c-8ca9-d26e32005ee1"",""f48469af-3e7d-497b-a4dc-12cbef814320""]"
Assassin's Trophy (Borderless),2024-08-09T23:27:47.095Z,8b67e74e-be58-4b7b-a2e4-c1568146c508,0f9510c0-08e8-470c-ae9f-8e00a40b1abb,60c69632-6215-4ec0-89eb-e7579e3cb0cd,Top 100 Commander Showdown,https://cards.scryfall.io/png/front/0/c/0c4f4ff8-efd2-4d22-8491-54bd6e73006c.png,7.500000000000000000000000000000,8b67e74e-be58-4b7b-a2e4-c1568146c508,Assassin's Trophy (Borderless),60c69632-6215-4ec0-89eb-e7579e3cb0cd,"[""53462bb9-a35e-46be-bf49-5d5b4a365975"",""b5444e9c-1551-4ed7-9d61-d1e4e64c44c5"",""db06df77-adb6-427a-b680-b4faeb87c515"",""e14f9c9a-dd47-4d26-87cd-3a1fdfaec6ce"",""e2c424d4-4f16-4633-8a89-eac1f1d4b837"",""e3d2e088-61f0-4611-9914-670c3b72ba64"",""e741a20e-ef60-4295-82b0-a0ff5dc3da05"",""f78deccf-ab02-422f-bff0-bf03877f9d0a""]","[""53462bb9-a35e-46be-bf49-5d5b4a365975"",""60c69632-6215-4ec0-89eb-e7579e3cb0cd"",""b5444e9c-1551-4ed7-9d61-d1e4e64c44c5"",""db06df77-adb6-427a-b680-b4faeb87c515"",""e14f9c9a-dd47-4d26-87cd-3a1fdfaec6ce"",""e2c424d4-4f16-4633-8a89-eac1f1d4b837"",""e3d2e088-61f0-4611-9914-670c3b72ba64"",""e741a20e-ef60-4295-82b0-a0ff5dc3da05"",""f78deccf-ab02-422f-bff0-bf03877f9d0a""]"
Astral Radiance Pokemon Center Elite Trainer Box (Exclusive)!,2024-08-11T04:05:47.443Z,1e7317ac-93bf-4f55-9c6c-85f03f20bd98,cd2874d6-c426-4b9e-88fd-d31f5cc4cfb8,05aa9bd6-e9b2-47b4-888f-595b2606193c,Nurse Joy's Secret Stash!,https://pullbox.retool.com/api/file/14eb8cd3-d6fa-4fa3-9600-ba2d8b959746,102.200000000000000000000000000000,1e7317ac-93bf-4f55-9c6c-85f03f20bd98,Astral Radiance Pokemon Center Elite Trainer Box (Exclusive)!,05aa9bd6-e9b2-47b4-888f-595b2606193c,"[""6c8403bf-c240-4538-ace8-5f90482580bf"",""c1c99d30-8694-4b00-966c-4c45088c3860"",""d22ef98d-7876-474c-99da-2b756b4eb4ee""]","[""05aa9bd6-e9b2-47b4-888f-595b2606193c"",""6c8403bf-c240-4538-ace8-5f90482580bf"",""c1c99d30-8694-4b00-966c-4c45088c3860"",""d22ef98d-7876-474c-99da-2b756b4eb4ee""]"
Azure Mage,2024-08-11T10:55:00.777Z,f6a459c3-6b33-4d7b-ad4f-51e2bfc05626,5b8758ab-d951-41ee-bc7a-613b24bda466,80fd08dd-dd7f-4df6-b584-2032ef70e36e,Niiiiiiice!,https://cards.scryfall.io/png/front/a/4/a473897f-49eb-4e0f-a5b6-ea75e10be91a.png,0.090000000000000000000000000000,f6a459c3-6b33-4d7b-ad4f-51e2bfc05626,Azure Mage,a9555bc0-56c3-4c8e-b19d-4105d5b74825,"[""06c2e8de-4373-4f9c-b827-0b4c25ee996b"",""2b1f18f2-c2a6-4f6a-b506-f572a963034b"",""358a3bc4-7a46-4998-9cb8-0dd0a00a5795"",""46f83c38-796b-4b34-9125-22dc62064392"",""56e778b4-3984-4c75-acd8-c3bc4897aa8d"",""61a5bde6-394b-4503-a814-21eddb3c231c"",""7ba1e896-5195-47fe-94cb-ce1df28fbc57"",""80fd08dd-dd7f-4df6-b584-2032ef70e36e"",""9d0462bc-61a2-4050-b738-7807ab6abfc9"",""a376799b-c3ba-4ce8-8ebe-408093d4b13c"",""afed9515-375c-4a66-8272-682db78b35f2"",""db571f20-0663-4d9b-bdc7-db7c4eeb7946""]","[""06c2e8de-4373-4f9c-b827-0b4c25ee996b"",""2b1f18f2-c2a6-4f6a-b506-f572a963034b"",""358a3bc4-7a46-4998-9cb8-0dd0a00a5795"",""46f83c38-796b-4b34-9125-22dc62064392"",""56e778b4-3984-4c75-acd8-c3bc4897aa8d"",""61a5bde6-394b-4503-a814-21eddb3c231c"",""7ba1e896-5195-47fe-94cb-ce1df28fbc57"",""80fd08dd-dd7f-4df6-b584-2032ef70e36e"",""9d0462bc-61a2-4050-b738-7807ab6abfc9"",""a376799b-c3ba-4ce8-8ebe-408093d4b13c"",""a9555bc0-56c3-4c8e-b19d-4105d5b74825"",""afed9515-375c-4a66-8272-682db78b35f2"",""db571f20-0663-4d9b-bdc7-db7c4eeb7946""]"
Basal Sliver,2024-08-09T22:14:15.085Z,8b86ad10-eaea-48de-8766-29acb59d33e3,85b27f2f-9e67-41d8-ace4-637591251dc9,a0907ca2-247a-4215-bb97-3b5a836d7b31,"Do You Even Tribal, Bro? (Slivers)",https://cards.scryfall.io/png/front/4/5/4564e9df-bfa3-48e5-a12e-f7e96a504cb1.png,0.730000000000000000000000000000,8b86ad10-eaea-48de-8766-29acb59d33e3,Basal Sliver,a0907ca2-247a-4215-bb97-3b5a836d7b31,"[""050c010a-ba3d-4053-8a56-e040c52cf395"",""24df4947-3166-4061-a569-fd9b31150f15"",""8272a4ec-a0c0-4097-8b6b-ac1ef3bc277d"",""9cde7488-640f-41a2-9d7e-e37e128c8ac1"",""a6644cae-07cf-4729-a919-ba4c918eefdb"",""ae443193-f2c5-4973-8f83-a01f408180ba"",""c6b0fe10-bee3-46b9-9cad-c508cb8e839e"",""f4357cac-b199-46a2-a480-4e2296b751c8""]","[""050c010a-ba3d-4053-8a56-e040c52cf395"",""24df4947-3166-4061-a569-fd9b31150f15"",""8272a4ec-a0c0-4097-8b6b-ac1ef3bc277d"",""9cde7488-640f-41a2-9d7e-e37e128c8ac1"",""a0907ca2-247a-4215-bb97-3b5a836d7b31"",""a6644cae-07cf-4729-a919-ba4c918eefdb"",""ae443193-f2c5-4973-8f83-a01f408180ba"",""c6b0fe10-bee3-46b9-9cad-c508cb8e839e"",""f4357cac-b199-46a2-a480-4e2296b751c8""]"
